,srank,simple_rank,non_simple)rank ,probability ,1,2,3,4,5
1,S?,NA,,,,,,,
2,S1,1,1,,1,,,,
3,S1?,1,"c(1,2)",,0.8,0.2,,,
4,S1B,1,1,,1,,,,
5,"S1B, S4N",1,1,,1,,,,
6,"S1B, SUN",1,1,,1,,,,
7,"S1B,S2N",1,1,,1,,,,
8,"S1B,S3N",1,1,,1,,,,
9,"S1B,S4N",1,1,,1,,,,
10,"S1B,SUM",1,1,,1,,,,
11,"S1B,SZN",1,1,,1,,,,
12,S1N,1,1,,1,,,,
13,S1S2,1.5,"c(1,2)",,0.5,0.5,,,
14,S1S2B,1.5,2,,,1,,,
15,S1S2M,1.5,1,,,,,,
16,S1S3,2,"c(1,2,3)",,0.05,0.9,0.05,,
17,S2,2,2,,,1,,,
18,S2?,2,"c(1,2,3)",,0.1,0.8,0.1,,
19,S2?B,2,"c(1,2,3)",,0.1,0.8,0.1,,
20,S2B,2,2,,,1,,,
21,"S2B,S3N",2,2,,,1,,,
22,"S2B,S3S4N",2,2,,,1,,,
23,"S2B,SZN",2,2,,,1,,,
24,S2M,2,2,,,1,,,
25,S2N,2,2,,,1,,,
26,"S2N,S3B",3,3,,,,1,,
27,S2S3,2.5,"c(2,3)",,,0.5,0.5,,
28,S2S3B,2.5,"c(2,3)",,,0.5,0.5,,
29,"S2S3B,S4N",2.5,"c(2,3)",,,0.5,0.5,,
30,S2S3N,2.5,"c(2,3)",,,0.5,0.5,,
31,S2S4,3,"c(2,3,4)",,,0.05,0.9,0.05,
32,S3,3,3,,,,1,,
33,S3?,3,"c(2,3,4)",,,0.1,0.8,0.1,
34,S3?B,3,"c(2,3,4)",,,0.1,0.8,0.1,
35,"S3?B,SZN",3,"c(2,3,4)",,,0.1,0.8,0.1,
36,S3?N,3,"c(2,3,4)",,,0.1,0.8,0.1,
37,S3B,3,3,,,,1,,
38,"S3B, S4N",3,3,,,,1,,
39,"S3B, SNRN",3,3,,,,1,,
40,"S3B,S2N",3,3,,,,1,,
41,"S3B,S3N",3,3,,,,1,,
42,"S3B,S4N",3,3,,,,1,,
43,"S3B,S5N",3,3,,,,1,,
44,"S3B,SZN",3,3,,,,1,,
45,S3B?,3,3,,,,1,,
46,S3M,3,3,,,,1,,
47,S3N,3,3,,,,1,,
48,"S3N,S4B",4,4,,,,,1,
49,S3S4,3.5,"c(3,4)",,,,0.5,0.5,
50,S3S4B,3.5,"c(3,4)",,,,0.5,0.5,
51,"S3S4B, SNRN",3.5,"c(3,4)",,,,0.5,0.5,
52,"S3S4B,SZN",3.5,"c(3,4)",,,,0.5,0.5,
53,S3S4N,3.5,"c(3,4)",,,,0.5,0.5,
54,"S3S4N,SZN",NA,"c(3,4)",,,,0.5,0.5,
55,S3S4Q,3.5,"c(3,4)",,,,0.5,0.5,
56,S3S5,4,"c(3,4,5)",,,,0.05,0.9,0.05
57,S3S5B,4,"c(3,4,5)",,,,0.05,0.9,0.05
58,S4,4,4,,,,,1,
59,S4?,4,"c(3,4,5)",,,,0.1,0.8,0.1
60,S4?B,4,"c(3,4,5)",,,,0.1,0.8,0.1
61,"S4?B,S5?N",4,"c(3,4,5)",,,,0.1,0.8,0.1
62,"S4?B,SZN",4,"c(3,4,5)",,,,0.1,0.8,0.1
63,S4B,4,4,,,,,1,
64,"S4B, S3S4N",4,4,,,,,1,
65,"S4B, SNRN",4,4,,,,,1,
66,"S4B,S3N",4,4,,,,,1,
67,"S4B,S4N",4,4,,,,,1,
68,"S4B,S5N",4,4,,,,,1,
69,"S4B,SZN",4,4,,,,,1,
70,S4M,4,4,,,,,1,
71,S4N,4,4,,,,,1,
72,"S4N,S5B",5,5,,,,,,1
73,"S4N,S5M",NA,5,,,,,,1
74,S4S5,4.5,"c(4,5)",,,,,0.5,0.5
75,S4S5B,4.5,"c(4,5)",,,,,0.5,0.5
76,"S4S5B,S4N",4.5,"c(4,5)",,,,,0.5,0.5
77,"S4S5B,S5N",4.5,"c(4,5)",,,,,0.5,0.5
78,"S4S5B,SZN",4.5,"c(4,5)",,,,,0.5,0.5
79,S4S5M,4.5,"c(4,5)",,,,,0.5,0.5
80,S4S5N,4.5,"c(4,5)",,,,,0.5,0.5
81,S5,5,5,,,,,,1
82,S5?,5,"c(4,5)",,,,,0.2,0.8
83,S5?B,5,"c(4,5)",,,,,0.2,0.8
84,S5B,5,5,,,,,,1
85,"S5B, SNRN",5,5,,,,,,1
86,"S5B, SUN",5,5,,,,,,1
87,"S5B,S4N",5,5,,,,,,1
88,"S5B,S5N",5,5,,,,,,1
89,"S5B,SZN",5,5,,,,,,1
90,S5M,5,5,,,,,,1
91,S5N,5,5,,,,,,1
92,SA,NA,NA,,,,,,
93,SH,0.5,0.5,,,,,,
94,"SHB,S4N",0.5,0.5,,,,,,
95,SHN,0.5,0.5,,,,,,
96,SNA,NA,NA,,,,,,
97,SNR,NA,NA,,,,,,
98,SNRM,NA,NA,,,,,,
99,SNRN,NA,NA,,,,,,
100,SP,NA,NA,,,,,,
101,SRF,NA,NA,,,,,,
102,SU,NA,NA,,,,,,
103,SUB,NA,NA,,,,,,
104,"SUB,SUM",NA,NA,,,,,,
105,SUM,NA,NA,,,,,,
106,SUN,NA,NA,,,,,,
107,SX,0,0,,,,,,
108,SXB,0,0,,,,,,
109,"SXB, SNAN",0,0,,,,,,
110,SZN,NA,NA,,,,,,
